 ;Alter in Monaten;Anzahl;Prozentsatz
1;11;2402;11.2738
2;23;2355;11.0532
3;4;2345;11.0063
4;7;1268;5.9514
5;29;978;4.5903
6;32;800;3.7548
7;16;528;2.4782
8;72;474;2.2247
9;12;456;2.1402
10;39;447;2.098
11;10;416;1.9525
12;13;383;1.7976
13;44;333;1.5629
14;9;329;1.5442
15;46;324;1.5207
16;38;302;1.4174
17;19;275;1.2907
18;42;263;1.2344
19;28;263;1.2344
20;33;247;1.1593
21;53;236;1.1077
22;15;222;1.042
23;31;218;1.0232
24;8;216;1.0138
25;17;215;1.0091
26;20;211;0.9903
27;73;200;0.9387
28;6;187;0.8777
29;5;176;0.8261
30;14;174;0.8167
31;27;161;0.7557
32;37;154;0.7228
33;48;146;0.6853
34;25;144;0.6759
35;40;139;0.6524
36;64;137;0.643
37;21;132;0.6195
38;26;128;0.6008
39;2;119;0.5585
40;3;107;0.5022
41;74;107;0.5022
42;18;106;0.4975
43;41;103;0.4834
44;34;102;0.4787
45;30;96;0.4506
46;22;95;0.4459
47;1;93;0.4365
48;35;93;0.4365
49;45;87;0.4083
50;71;70;0.3285
51;36;69;0.3239
52;43;68;0.3192
53;49;68;0.3192
54;68;65;0.3051
55;67;65;0.3051
56;70;64;0.3004
57;66;64;0.3004
58;24;61;0.2863
59;47;55;0.2581
60;63;52;0.2441
61;76;51;0.2394
62;51;48;0.2253
63;60;46;0.2159
64;52;42;0.1971
65;93;41;0.1924
66;61;40;0.1877
67;50;36;0.169
68;62;34;0.1596
69;78;33;0.1549
70;56;30;0.1408
71;79;30;0.1408
72;87;29;0.1361
73;69;27;0.1267
74;65;26;0.122
75;106;26;0.122
76;57;25;0.1173
77;82;24;0.1126
78;83;23;0.108
79;90;23;0.108
80;55;22;0.1033
81;102;22;0.1033
82;58;22;0.1033
83;59;19;0.0892
84;124;19;0.0892
85;110;19;0.0892
86;54;18;0.0845
87;75;16;0.0751
88;92;15;0.0704
89;89;14;0.0657
90;132;14;0.0657
91;123;13;0.061
92;104;12;0.0563
93;81;12;0.0563
94;85;12;0.0563
95;77;10;0.0469
96;113;10;0.0469
97;118;8;0.0375
98;116;8;0.0375
99;114;8;0.0375
100;105;8;0.0375
101;88;8;0.0375
102;100;7;0.0329
103;109;7;0.0329
104;120;7;0.0329
105;97;7;0.0329
106;96;6;0.0282
107;111;6;0.0282
108;99;5;0.0235
109;94;5;0.0235
110;80;5;0.0235
111;119;5;0.0235
112;95;5;0.0235
113;101;4;0.0188
114;115;4;0.0188
115;86;4;0.0188
116;103;3;0.0141
117;112;3;0.0141
118;107;3;0.0141
119;84;3;0.0141
120;117;2;0.0094
121;121;2;0.0094
122;131;2;0.0094
123;91;2;0.0094
124;133;1;0.0047
125;122;1;0.0047
126;108;1;0.0047
127;andere;70;0.3285
