 ;Alter in Monaten;Anzahl;Prozentsatz
1;11;2301;13.6097
2;4;2279;13.4796
3;23;2238;13.2371
4;7;1051;6.2164
5;29;753;4.4538
6;32;708;4.1876
7;72;467;2.7622
8;16;431;2.5492
9;39;368;2.1766
10;44;327;1.9341
11;28;239;1.4136
12;53;229;1.3545
13;19;227;1.3426
14;12;224;1.3249
15;42;221;1.3072
16;33;216;1.2776
17;20;179;1.0587
18;9;166;0.9818
19;8;156;0.9227
20;73;156;0.9227
21;13;152;0.899
22;10;146;0.8635
23;38;140;0.8281
24;31;137;0.8103
25;27;134;0.7926
26;6;133;0.7867
27;37;122;0.7216
28;40;119;0.7039
29;14;115;0.6802
30;26;114;0.6743
31;15;111;0.6565
32;25;97;0.5737
33;5;97;0.5737
34;2;95;0.5619
35;64;93;0.5501
36;17;88;0.5205
37;3;86;0.5087
38;46;85;0.5028
39;30;79;0.4673
40;22;74;0.4377
41;34;70;0.414
42;71;69;0.4081
43;18;68;0.4022
44;45;68;0.4022
45;21;64;0.3785
46;48;64;0.3785
47;43;62;0.3667
48;70;59;0.349
49;68;58;0.3431
50;67;57;0.3371
51;49;54;0.3194
52;1;53;0.3135
53;36;53;0.3135
54;41;52;0.3076
55;63;52;0.3076
56;76;51;0.3017
57;47;49;0.2898
58;93;41;0.2425
59;51;40;0.2366
60;24;38;0.2248
61;35;37;0.2188
62;52;35;0.207
63;61;32;0.1893
64;50;30;0.1774
65;79;29;0.1715
66;62;29;0.1715
67;60;29;0.1715
68;82;24;0.142
69;66;23;0.136
70;57;23;0.136
71;90;23;0.136
72;83;21;0.1242
73;65;19;0.1124
74;58;17;0.1006
75;75;16;0.0946
76;54;15;0.0887
77;56;15;0.0887
78;59;15;0.0887
79;55;14;0.0828
80;92;14;0.0828
81;69;13;0.0769
82;87;11;0.0651
83;89;10;0.0591
84;81;9;0.0532
85;85;9;0.0532
86;78;8;0.0473
87;77;7;0.0414
88;100;7;0.0414
89;88;7;0.0414
90;97;7;0.0414
91;95;5;0.0296
92;96;4;0.0237
93;80;4;0.0237
94;86;4;0.0237
95;94;4;0.0237
96;99;3;0.0177
97;74;3;0.0177
98;84;3;0.0177
99;105;2;0.0118
100;91;2;0.0118
101;103;1;0.0059
102;andere;49;0.2898
