 ;Änderungen;Anzahl;Prozentsatz
1;1;12337;72.9698
2;2;3195;18.8975
3;4;551;3.259
4;3;498;2.9455
5;5;143;0.8458
6;6;41;0.2425
7;8;24;0.142
8;7;24;0.142
9;10;13;0.0769
10;11;11;0.0651
11;9;10;0.0591
12;12;6;0.0355
13;15;4;0.0237
14;21;3;0.0177
15;51;2;0.0118
16;84;2;0.0118
17;14;2;0.0118
18;17;2;0.0118
19;19;2;0.0118
20;18;2;0.0118
21;24;2;0.0118
22;45;1;0.0059
23;66;1;0.0059
24;42;1;0.0059
25;105;1;0.0059
26;46;1;0.0059
27;50;1;0.0059
28;29;1;0.0059
29;228;1;0.0059
30;28;1;0.0059
31;43;1;0.0059
32;86;1;0.0059
33;23;1;0.0059
34;221;1;0.0059
35;109;1;0.0059
36;49;1;0.0059
37;53;1;0.0059
38;31;1;0.0059
39;175;1;0.0059
40;462;1;0.0059
41;20;1;0.0059
42;13;1;0.0059
43;54;1;0.0059
44;16;1;0.0059
45;32;1;0.0059
46;andere;9;0.0532
