 ;Zeit;Anzahl von Projekten;Prozentsatz
1;('2005-06-01', '2005-12-31');2;0.1599
2;('2006-06-01', '2006-12-31');1;0.0799
3;('2007-01-01', '2007-05-31');1;0.0799
4;('2007-06-01', '2007-12-31');3;0.2398
5;('2008-01-01', '2008-05-31');2;0.1599
6;('2008-06-01', '2008-12-31');1;0.0799
7;('2009-06-01', '2009-12-31');1;0.0799
8;('2010-01-01', '2010-05-31');2;0.1599
9;('2010-06-01', '2010-12-31');3;0.2398
10;('2011-01-01', '2011-05-31');10;0.7994
11;('2011-06-01', '2011-12-31');6;0.4796
12;('2012-01-01', '2012-05-31');11;0.8793
13;('2012-06-01', '2012-12-31');26;2.0783
14;('2013-01-01', '2013-05-31');32;2.558
15;('2013-06-01', '2013-12-31');28;2.2382
16;('2014-01-01', '2014-05-31');32;2.558
17;('2014-06-01', '2014-12-31');36;2.8777
18;('2015-01-01', '2015-05-31');58;4.6363
19;('2015-06-01', '2015-12-31');77;6.1551
20;('2016-01-01', '2016-05-31');81;6.4748
21;('2016-06-01', '2016-12-31');127;10.1519
22;('2017-01-01', '2017-05-31');104;8.3133
23;('2017-06-01', '2017-12-31');226;18.0655
24;('2018-01-01', '2018-05-31');189;15.1079
25;('2018-06-01', '2018-12-31');178;14.2286
26;andere;0;0.0
