 ;Zeit;Anzahl von Projekten;Prozentsatz
1;('2010-06-01', '2010-12-31');2;0.1599
2;('2011-06-01', '2011-12-31');4;0.3197
3;('2012-01-01', '2012-05-31');4;0.3197
4;('2012-06-01', '2012-12-31');16;1.279
5;('2013-01-01', '2013-05-31');18;1.4388
6;('2013-06-01', '2013-12-31');24;1.9185
7;('2014-01-01', '2014-05-31');21;1.6787
8;('2014-06-01', '2014-12-31');26;2.0783
9;('2015-01-01', '2015-05-31');30;2.3981
10;('2015-06-01', '2015-12-31');78;6.235
11;('2016-01-01', '2016-05-31');61;4.8761
12;('2016-06-01', '2016-12-31');109;8.713
13;('2017-01-01', '2017-05-31');98;7.8337
14;('2017-06-01', '2017-12-31');187;14.948
15;('2018-01-01', '2018-05-31');207;16.5468
16;('2018-06-01', '2018-12-31');267;21.3429
17;('2019-01-01', '2019-05-31');86;6.8745
18;andere;0;0.0
